Score,Bench,APU
114.00,1.00,1.00
141.00,2.00,1.00
126.00,3.00,1.00
130.50,4.00,1.00
162.00,5.00,1.00
6018.00,6.00,1.00
1119.00,7.00,1.00
1192.50,8.00,1.00
6871.50,9.00,1.00
412.50,10.00,1.00
8133.00,11.00,1.00
10125.00,12.00,1.00
4816.50,13.00,1.00
79.00,1.00,2.00
130.00,2.00,2.00
124.00,3.00,2.00
118.00,4.00,2.00
103.00,5.00,2.00
3800.00,6.00,2.00
550.00,7.00,2.00
581.00,8.00,2.00
4405.00,9.00,2.00
204.00,10.00,2.00
4219.00,11.00,2.00
4725.00,12.00,2.00
3070.00,13.00,2.00
101.00,1.00,3.00
131.00,2.00,3.00
85.00,3.00,3.00
119.00,4.00,3.00
119.00,5.00,3.00
3942.00,6.00,3.00
759.00,7.00,3.00
854.00,8.00,3.00
2076.00,9.00,3.00
273.00,10.00,3.00
3819.00,11.00,3.00
6365.00,12.00,3.00
1592.00,13.00,3.00
77.25,1.00,4.00
98.25,2.00,4.00
86.25,3.00,4.00
89.25,4.00,4.00
81.00,5.00,4.00
2601.00,6.00,4.00
514.50,7.00,4.00
564.00,8.00,4.00
1431.75,9.00,4.00
196.50,10.00,4.00
2202.00,11.00,4.00
3492.75,12.00,4.00
960.75,13.00,4.00
